Date,Surface,Court,Team1,Odd1,Rank1,Pts1,Weight1,Height1,Hand1,Team2,Odd2,Rank2,Pts2,Weight2,Height2,Hand2,Winner
2022-01-14,1,1,Opelka R.,2.07,25.0,1936.0,100.0,211.0,1,Murray A.,1.76,135.0,521.0,84.0,191.0,1,2
2022-01-14,1,1,Karatsev A.,2.25,20.0,2351.0,85.0,185.0,1,Evans D.,1.64,26.0,1912.0,75.0,175.0,1,1
2022-01-15,1,1,Karatsev A.,1.77,20.0,2351.0,85.0,185.0,1,Murray A.,2.07,135.0,521.0,84.0,191.0,1,1
2022-01-17,1,1,Djere L.,7.09,51.0,1156.0,80.0,185.0,1,Shapovalov D.,1.1,14.0,2593.0,76.0,183.0,2,2
2022-01-17,1,1,Rune H.,2.18,99.0,742.0,77.0,188.0,1,Kwon S.W.,1.68,54.0,1085.0,72.0,180.0,1,2
2022-01-17,1,1,Fucsovics M.,1.35,35.0,1457.0,82.0,188.0,1,Lajovic D.,3.2,39.0,1346.0,78.0,183.0,1,2
2022-01-17,1,1,Vukic A.,3.41,144.0,477.0,85.0,188.0,1,Harris L.,1.31,33.0,1473.0,80.0,193.0,1,1
2022-01-17,1,1,Bagnis F.,2.6,72.0,868.0,82.0,183.0,2,Garin C.,1.49,19.0,2375.0,85.0,185.0,1,2
2022-01-17,1,1,Martinez P.,1.28,61.0,1001.0,76.0,185.0,1,Delbonis F.,3.64,38.0,1347.0,88.0,191.0,2,1
2022-01-17,1,1,Bonzi B.,1.35,63.0,979.0,82.0,183.0,1,Gojowczyk P.,3.19,82.0,802.0,83.0,188.0,1,1
2022-01-17,1,1,Albot R.,2.0,124.0,587.0,69.0,175.0,1,Nishioka Y.,1.81,119.0,610.0,64.0,170.0,2,1
2022-01-17,1,1,Alcaraz C.,1.17,31.0,1609.0,72.0,185.0,1,Tabilo A.,5.2,135.0,518.0,75.0,188.0,1,1
2022-01-17,1,1,Vesely J.,1.5,78.0,824.0,92.0,198.0,2,Kozlov S.,2.58,169.0,401.0,79.0,183.0,1,2
2022-01-17,1,1,Coria F.,14.34,64.0,976.0,73.0,180.0,1,Monfils G.,1.03,20.0,2373.0,80.0,193.0,1,2
2022-01-17,1,1,Berrettini M.,1.31,7.0,4568.0,95.0,196.0,1,Nakashima B.,3.43,68.0,917.0,84.0,185.0,1,1
2022-01-17,1,1,Kudla D.,6.92,105.0,714.0,75.0,180.0,1,Khachanov K.,1.1,30.0,1748.0,88.0,198.0,1,2
2022-01-17,1,1,Mannarino A.,2.53,69.0,879.0,70.0,180.0,2,Duckworth J.,1.52,49.0,1166.0,82.0,183.0,1,1
2022-01-17,1,1,Carreno Busta P.,1.06,21.0,2305.0,78.0,188.0,1,Etcheverry T.,9.91,131.0,556.0,82.0,196.0,1,1
2022-01-17,1,1,Escobedo E.,2.22,141.0,497.0,82.0,185.0,1,Bublik A.,1.68,37.0,1411.0,76.0,196.0,1,2
2022-01-17,1,1,Giron M.,11.86,66.0,920.0,77.0,180.0,1,Nadal R.,1.04,5.0,4875.0,85.0,185.0,2,2
2022-01-17,1,1,Norrie C.,1.55,12.0,2900.0,80.0,188.0,2,Korda S.,2.44,43.0,1286.0,77.0,196.0,1,2
2022-01-17,1,1,Gerasimov E.,6.68,106.0,714.0,84.0,183.0,1,Hurkacz H.,1.11,11.0,3336.0,77.0,188.0,1,2
2022-01-17,1,1,Taberner C.,3.33,108.0,707.0,78.0,183.0,1,Koepfer D.,1.33,53.0,1096.0,79.0,180.0,2,2
2022-01-17,1,1,Moutet C.,1.26,100.0,737.0,71.0,175.0,2,Pouille L.,3.81,160.0,440.0,81.0,185.0,1,1
2022-01-17,1,1,Fognini F.,1.69,32.0,1494.0,74.0,178.0,1,Griekspoor T.,2.16,62.0,1001.0,85.0,188.0,1,2
2022-01-17,1,1,Mcdonald M.,1.19,55.0,1084.0,73.0,178.0,1,Milojevic N.,4.85,139.0,506.0,76.0,188.0,1,1
2022-01-17,1,1,Kecmanovic M.,1.33,77.0,836.0,75.0,183.0,1,Caruso S.,3.32,146.0,458.0,80.0,185.0,1,1
2022-01-17,1,1,Sonego L.,1.16,26.0,1860.0,76.0,191.0,1,Querrey S.,5.19,110.0,685.0,95.0,198.0,1,1
2022-01-17,1,1,Hanfmann Y.,3.67,126.0,583.0,84.0,193.0,1,Kokkinakis T.,1.28,103.0,726.0,82.0,196.0,1,1
2022-01-17,1,1,Opelka R.,1.41,29.0,1776.0,100.0,211.0,1,Anderson K.,2.89,97.0,744.0,93.0,203.0,1,1
2022-01-17,1,1,Lopez F.,2.87,109.0,696.0,73.0,185.0,2,Millman J.,1.42,89.0,788.0,79.0,183.0,1,2
2022-01-17,1,1,Munar J.,4.83,71.0,875.0,78.0,183.0,1,Karatsev A.,1.18,15.0,2553.0,85.0,185.0,1,2
2022-01-17,1,1,Paul T.,1.22,41.0,1317.0,78.0,185.0,1,Kukushkin M.,4.22,180.0,362.0,72.0,183.0,1,1
2022-01-17,1,1,Zverev A.,1.02,3.0,7970.0,86.0,198.0,1,Altmaier D.,16.98,87.0,792.0,80.0,188.0,1,1
2022-01-18,1,1,Krajinovic F.,3.73,36.0,1427.0,75.0,185.0,1,Schwartzman D.,1.28,13.0,2730.0,64.0,170.0,1,2
2022-01-18,1,1,Struff J.L.,2.53,52.0,1149.0,87.0,196.0,1,Van De Zandschulp B.,1.52,57.0,1069.0,83.0,188.0,1,2
2022-01-18,1,1,Gasquet R.,4.78,81.0,807.0,75.0,185.0,1,Humbert U.,1.19,40.0,1318.0,73.0,188.0,2,1
2022-01-18,1,1,Gaston H.,2.08,67.0,919.0,68.0,173.0,2,O Connell C.,1.76,175.0,383.0,78.0,183.0,1,2
2022-01-18,1,1,Cilic M.,1.08,27.0,1840.0,89.0,198.0,1,Gomez E.,8.39,153.0,450.0,81.0,185.0,1,1
2022-01-18,1,1,Cecchinato M.,2.72,95.0,759.0,78.0,185.0,1,Kohlschreiber P.,1.46,134.0,533.0,70.0,178.0,1,2
2022-01-18,1,1,Travaglia S.,10.64,98.0,744.0,80.0,185.0,1,Bautista Agut R.,1.05,18.0,2385.0,76.0,183.0,1,2
2022-01-18,1,1,Berankis R.,1.41,93.0,761.0,70.0,175.0,1,Carballes Baena R.,2.88,75.0,837.0,76.0,180.0,1,1
